video_name,model,gpu time,frame rate,f1,temporal,spatial,bandwidth
highway_12,faster_rcnn_resnet101,0.04,0.04,0.189603413,1,NA,NA
highway_13,faster_rcnn_resnet101,0.04,0.04,0.184478145,1,NA,NA
highway_13,faster_rcnn_inception_v2,0.021886792,0.04,0.14812398,1,NA,NA
highway_13,ssd_mobilenet_v2,0.011698113,0.04,0.113647725,1,NA,NA
highway_13,faster_rcnn_resnet101,0.8,0.8,0.988157436,20,NA,NA
highway_13,faster_rcnn_resnet101,0.6,0.6,0.98224234,15,NA,NA
highway_13,faster_rcnn_resnet101,0.4,0.4,0.921254355,10,NA,NA
highway_13,faster_rcnn_resnet101,0.2,0.2,0.681326353,5,NA,NA
highway_13,faster_rcnn_resnet101,0.16,0.16,0.585606194,4,NA,NA
highway_13,faster_rcnn_resnet101,0.12,0.12,0.483367983,3,NA,NA
highway_13,faster_rcnn_resnet101,0.1,0.1,0.416549296,2.5,NA,NA
highway_13,faster_rcnn_resnet101,0.08,0.08,0.350610295,2,NA,NA
highway_13,faster_rcnn_resnet101,0.072,0.072,0.322425078,1.8,NA,NA
highway_13,faster_rcnn_resnet101,0.06,0.06,0.268102101,1.5,NA,NA
highway_13,faster_rcnn_resnet101,0.048,0.048,0.21773913,1.2,NA,NA
highway_13,faster_rcnn_resnet101,0.04,0.04,0.184478145,1,NA,NA
highway_14,faster_rcnn_resnet101,0.04,0.04,0.238263814,1,NA,NA
highway_14,faster_rcnn_inception_v2,0.021886792,0.04,0.114485981,1,NA,NA
highway_14,ssd_mobilenet_v2,0.011698113,0.04,0.144578313,1,NA,NA
highway_14,faster_rcnn_resnet101,0.8,0.8,0.990126082,20,NA,NA
highway_14,faster_rcnn_resnet101,0.6,0.6,0.981023228,15,NA,NA
highway_14,faster_rcnn_resnet101,0.4,0.4,0.93785139,10,NA,NA
highway_14,faster_rcnn_resnet101,0.2,0.2,0.756338242,5,NA,NA
highway_14,faster_rcnn_resnet101,0.16,0.16,0.657338403,4,NA,NA
highway_14,faster_rcnn_resnet101,0.12,0.12,0.54561879,3,NA,NA
highway_14,faster_rcnn_resnet101,0.1,0.1,0.488807675,2.5,NA,NA
